SampleID,Plate_number,Plate_name,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit,Code,Number_2,Primer,Linker,Linker_2,Combine_1,Combine_2,Combine_3,Decontam,Site_type_Sampling_timing
RF245.041.Plate1.B6.799FMod3.1115R.Comstock.F,1,Plate,B6,Comstock,F,e,5/11/2022,early,6,Residential,4/5/2022,7/28/2022,15,RF245,41,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.042.Plate1.C6.799FMod3.1115R.Comstock.F,1,Plate,C6,Comstock,F,e,5/11/2022,early,6,Residential,4/5/2022,7/28/2022,15,RF245,42,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.043.Plate1.D6.799FMod3.1115R.Comstock.M,1,Plate,D6,Comstock,M,e,5/11/2022,early,6,Residential,4/5/2022,7/28/2022,15,RF245,43,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.044.Plate1.E6.799FMod3.1115R.Comstock.M,1,Plate,E6,Comstock,M,e,5/11/2022,early,6,Residential,4/5/2022,7/28/2022,15,RF245,44,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.045.Plate1.F6.799FMod3.1115R.Fairbrother.F,1,Plate,F6,Fairbrother,F,e,5/10/2022,early,7,Residential,4/5/2022,7/28/2022,15,RF245,45,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.046.Plate1.G6.799FMod3.1115R.Fairbrother.F,1,Plate,G6,Fairbrother,F,e,5/10/2022,early,7,Residential,4/5/2022,7/28/2022,15,RF245,46,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.047.Plate1.B7.799FMod3.1115R.Fairbrother.M,1,Plate,B7,Fairbrother,M,e,5/10/2022,early,7,Residential,4/5/2022,8/1/2022,16,RF245,47,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.048.Plate1.C7.799FMod3.1115R.Fairbrother.M,1,Plate,C7,Fairbrother,M,e,5/10/2022,early,7,Residential,4/5/2022,8/1/2022,16,RF245,48,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.137.Plate2.F6.799FMod3.1115R.IndianCreek.F,2,Plate,F6,IndianCreek,F,e,5/19/2022,late,14,Orchard,4/5/2022,8/3/2022,17,RF245,137,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_F,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.138.Plate2.G6.799FMod3.1115R.IndianCreek.M,2,Plate,G6,IndianCreek,M,e,5/19/2022,late,14,Orchard,4/5/2022,8/3/2022,17,RF245,138,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_M,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.139.Plate2.A7.799FMod3.1115R.IndianCreek.F,2,Plate,A7,IndianCreek,F,e,5/19/2022,late,14,Orchard,4/5/2022,8/3/2022,17,RF245,139,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_F,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.140.Plate2.B7.799FMod3.1115R.IndianCreek.F,2,Plate,B7,IndianCreek,F,e,5/19/2022,late,14,Orchard,4/5/2022,8/3/2022,17,RF245,140,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_F,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.141.Plate2.D7.799FMod3.1115R.IndianCreek.M,2,Plate,D7,IndianCreek,M,e,5/19/2022,late,14,Orchard,4/5/2022,8/5/2022,20,RF245,141,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_M,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.142.Plate2.E7.799FMod3.1115R.IndianCreek.M,2,Plate,E7,IndianCreek,M,e,5/19/2022,late,14,Orchard,4/5/2022,8/5/2022,20,RF245,142,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_M,Residential_early_Tobias_F_e,Sample,Orchard_late
RF245.143.Plate2.F7.799FMod3.1115R.IndianCreek.F,2,Plate,F7,IndianCreek,F,fl,5/16/2022,late,14,Orchard,4/5/2022,8/5/2022,20,RF245,143,799FMod3.1115R,.,_,Orchard_late_IndianCreek,Orchard_late_IndianCreek_F,Residential_early_Tobias_F_e,Sample,Orchard_late
